--------------------
BDMEP - INMET
--------------------
Estação           : CRUZ ALTA - RS (OMM: 83912)
Latitude  (graus) : -28.63
Longitude (graus) : -53.6
Altitude  (metros): 472.50
Estação Operante
Inicio de operação: 02/02/1912
Periodo solicitado dos dados: 01/01/1961 a 19/09/2012
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempBulboSeco;TempBulboUmido;TempMaxima;TempMinima;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoInsolacao;
83912;27/01/1961;0000;;20.8;15.8;26.2;;57;962.3;14;5;;
83912;27/01/1961;1200;0;19.6;14.8;;12.2;58;964;5;3;;
83912;27/01/1961;1800;;25.8;17.6;;;42;962.6;14;5;;
83912;28/01/1961;0000;;23.2;16.4;28.6;;47;962.6;9;3;;
83912;28/01/1961;1200;0;21.2;16.2;;13.8;59;962.2;5;3;;
83912;28/01/1961;1800;;27.8;17.8;;;34;959.9;14;3;;
83912;29/01/1961;0000;;23.6;17;30.2;;49;959.2;0;0;;
83912;29/01/1961;1200;0;21.4;17.6;;17;68;960;32;3;;
83912;29/01/1961;1800;;27.6;19.4;;;44;957.8;23;1;;
83912;30/01/1961;0000;;26;19.2;33;;51;957.1;0;0;;
83912;30/01/1961;1200;0;23.4;18.8;;18.2;64;957.2;5;1;;
83912;30/01/1961;1800;;31.6;20.6;;;34;956.2;23;3;;
83912;31/01/1961;0000;;27.2;20;33.2;;50;955.5;0;0;;
83912;31/01/1961;1200;0;25.8;20.2;;20.2;59;957;5;1;;
83912;31/01/1961;1800;;32;21;;;35;954.3;5;1;;
83912;01/02/1961;0000;;29;19.4;35.2;;38;953.9;0;0;;
83912;01/02/1961;1200;0;26.2;19.8;;20.6;54;955.5;5;7;;
83912;01/02/1961;1800;;34.2;22;;;32;953.8;32;5;;
83912;02/02/1961;0000;;25;21;27.2;;69;955.2;23;5;;
83912;02/02/1961;1200;8.9;22;20;;17.4;82;958.3;14;1;;
83912;02/02/1961;1800;;26;20.6;;;61;959.1;23;5;;
83912;03/02/1961;0000;;22;19.2;30.4;;76;959.5;0;0;;
83912;03/02/1961;1200;0;21.2;18.8;;18.6;78;961.1;14;3;;
83912;03/02/1961;1800;;30;22.4;;;50;960.8;14;3;;
83912;04/02/1961;0000;;24;19;31;;61;960.2;14;3;;
83912;04/02/1961;1200;0;22.4;19.2;;17.2;73;961.1;5;5;;
83912;04/02/1961;1800;;30.4;23;;;52;958.4;14;5;;
83912;05/02/1961;0000;;21.8;19.2;31.6;;78;958.4;14;3;;
83912;05/02/1961;1200;0.5;23.8;20.4;;18.2;72;958.4;5;3;;
83912;05/02/1961;1800;;28;22.4;;;60;956.2;5;5;;
83912;06/02/1961;0000;;23.8;20.8;24.8;;75;956.2;0;0;;
83912;06/02/1961;1200;1.1;23.4;20.8;;20;78;957.1;32;1;;
83912;06/02/1961;1800;;22.8;21.2;;;87;957.2;32;5;;
83912;07/02/1961;0000;;20.4;19.2;24;;89;956.3;0;0;;
83912;07/02/1961;1200;12.9;20.4;19.4;;19;90;961;23;1;;
83912;07/02/1961;1800;;21.2;20;;;89;961;32;3;;
83912;08/02/1961;0000;;21;19.8;30;;89;959.8;0;0;;
83912;08/02/1961;1200;22.7;20.4;19.2;;17.8;89;963.2;14;3;;
83912;08/02/1961;1800;;28.8;22.2;;;53;961.8;14;1;;
83912;09/02/1961;0000;;25;20.6;30.8;;67;961.2;14;1;;
83912;09/02/1961;1200;0;21.6;19.4;;17.6;80;960.6;14;3;;
83912;09/02/1961;1800;;29.8;23.2;;;56;959.1;23;3;;
83912;10/02/1961;0000;;25.4;21.6;30.8;;71;959;0;0;;
83912;10/02/1961;1200;0;23.4;21;;20.2;80;959.1;5;7;;
83912;10/02/1961;1800;;30.8;24;;;56;955.5;32;3;;
83912;11/02/1961;0000;;26.4;23;28;;74;956.2;36;2;;
83912;11/02/1961;1200;28.7;21.6;20.8;;20;93;956.4;32;3;;
83912;11/02/1961;1800;;27;21;;;57;956.8;23;5;;
83912;12/02/1961;0000;;22.4;18.6;30;;69;956.3;0;0;;
83912;12/02/1961;1200;0;22.6;18.6;;16.8;68;956.6;14;1;;
83912;12/02/1961;1800;;29.4;20;;;39;955.8;23;3;;
83912;13/02/1961;0000;;24.2;18;29.2;;53;955.8;0;0;;
83912;13/02/1961;1200;0;22.4;18;;17.8;64;959.2;32;1;;
83912;13/02/1961;1800;;28.4;21.6;;;54;957;23;1;;
83912;14/02/1961;0000;;22.6;18.8;28.8;;69;957.6;0;0;;
83912;14/02/1961;1200;0.1;20.2;16.6;;13.6;69;961.5;5;0.5;;
83912;14/02/1961;1800;;28.4;21.2;;;51;960.8;14;5;;
